"Demo ISP Log Report"
"License Number: 898989"
"Address: khulna"
"Phone Number: 989786758"
"Log Report: 2023-10-03T18:45:00 to 2023-10-04T18:45:59"
DateTime,"Router IP",User,Protocol,Mac,"Src IP",Port,"Destination IP",Port,"NAT IP",Port
"03-10-2023 18:49 pm",172.31.1.3,"197walid ",TCP," 50:64:2b:65:1d:55",103.102.218.60,55374,17.253.18.205,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"270kutub ",TCP," f0:b4:d2:0e:84:63",103.102.217.140,4932,23.41.186.113,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"408mehedi ",TCP," 48:22:54:58:15:43",103.102.217.71,45122,111.108.51.10,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"445shamim ",TCP," 50:0f:f5:75:0e:50",103.102.217.13,55805,111.220.24.48,53535,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"362rahman ",TCP," 9c:a2:f4:fa:ce:d2",103.102.218.130,54268,1.1.1.1,53,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"101suman ",TCP," 94:46:96:f1:b8:84",10.10.2.10,45438,169.136.79.153,443," 103.102.219.9",45438
"03-10-2023 18:49 pm",172.31.1.3,"443rafiqul ",TCP," 08:40:f3:42:dd:90",103.102.218.87,58951,193.29.63.133,1688,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"270kutub ",TCP," f0:b4:d2:0e:84:63",103.102.217.140,4421,54.166.160.196,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"309imran ",TCP," 74:da:da:c6:a9:4d",103.102.217.27,59359,17.248.226.65,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"445shamim ",TCP," 50:0f:f5:75:0e:50",103.102.217.13,55807,162.105.140.203,23380,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"329abdur ",TCP," e0:1c:fc:3f:4c:7b",10.10.2.17,60234,81.69.128.55,443," 103.102.219.9",60234
"03-10-2023 18:49 pm",172.31.1.3,"270kutub ",TCP," f0:b4:d2:0e:84:63",103.102.217.140,48582,23.41.186.113,443,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"487ddseuk ",TCP," 80:3f:5d:6e:cb:79",103.102.218.197,55094,152.195.38.76,80,N/A,N/A
"03-10-2023 18:49 pm",172.31.1.3,"487ddseuk ",TCP," 80:3f:5d:6e:cb:79",103.102.218.197,55091,209.197.3.8,80,N/A,N/A
