"Demo ISP Log Report"
"License Number: 898989"
"Address: khulna"
"Phone Number: 989786758"
"Log Report: 2023-10-02T12:14:00 to 2023-10-03T12:14:59"
DateTime,"Router IP",User,Protocol,Mac,"Src IP",Port,"Destination IP",Port,"NAT IP",Port
"02-10-2023 12:17 pm",172.31.1.3,"400bayezid ",TCP," bc:62:ce:c2:18:64",103.102.217.189,37446,91.108.56.172,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"361alam ",TCP," 50:0f:f5:10:6f:49",103.102.218.18,42062,152.195.62.69,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"307ayatullah ",TCP," a4:2b:8c:f1:99:07",10.10.2.28,38352,47.241.5.8,443," 103.102.219.9",38352
"02-10-2023 12:17 pm",172.31.1.3,"307ayatullah ",TCP," a4:2b:8c:f1:99:07",10.10.2.28,38352,47.241.5.8,443," 103.102.219.9",38352
"02-10-2023 12:17 pm",172.31.1.3,"314hasan ",TCP," d4:6e:0e:e6:c7:eb",10.10.2.37,60708,169.136.77.189,42630," 103.102.219.9",60708
"02-10-2023 12:17 pm",172.31.1.3,"300mansura ",TCP," cc:2d:21:6b:38:40",10.10.2.2,59056,202.168.105.218,443," 103.102.219.9",59056
"02-10-2023 12:17 pm",172.31.1.3,"220bablu ",TCP," d8:32:14:3d:4d:98",103.102.217.95,59418,20.198.147.210,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"420suza ",TCP," d0:17:c2:a2:ed:e0",103.102.217.142,49163,107.167.125.189,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"281saiful ",TCP," 50:64:2b:4d:e8:57",103.102.217.151,50301,20.42.65.84,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,N/A,TCP," 94:ff:3c:65:56:de",103.102.219.10,51414,13.69.239.72,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"121azad ",TCP," 84:d8:1b:45:76:bf",103.102.217.62,49577,101.32.118.204,8013,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"220bablu ",TCP," d8:32:14:3d:4d:98",103.102.217.95,59404,52.167.79.94,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"206mahamud ",TCP," 28:ee:52:fd:82:d3",103.102.217.171,42782,216.130.169.24,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"220bablu ",TCP," d8:32:14:3d:4d:98",103.102.217.95,59406,54.193.47.223,443,N/A,N/A
"02-10-2023 12:17 pm",172.31.1.3,"220bablu ",TCP," d8:32:14:3d:4d:98",103.102.217.95,59409,104.80.55.8,443,N/A,N/A
